schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
offer,supervising_social_worker,2,offer_id,uuid,NO,NULL,,NO,fk_social_worker_offer,offer,offer,offer_id,NULL,NULL
offer,supervising_social_worker,3,full_name,character varying(255),NO,NULL,,NO,,,,,NULL,NULL
offer,supervising_social_worker,4,phone_number,character varying(20),NO,NULL,,NO,,,,,NULL,NULL
offer,supervising_social_worker,5,email_address,character varying(255),NO,NULL,,NO,,,,,NULL,NULL
provider,ageband,1,age_band_id,integer,NO,NULL,ageband_pkey,YES,,,,,NULL,NULL
provider,ageband,2,age_band_label,character varying(50),NO,NULL,,NO,,,,,NULL,NULL
provider,ageband,3,start_age,integer,YES,NULL,,NO,,,,,NULL,NULL
provider,ageband,4,up_to_age,integer,YES,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,1,id,uuid,NO,NULL,form_submissions_pkey,YES,,,,,NULL,NULL
provider,form_submissions,2,cognito_id,uuid,NO,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,3,file_name,character varying,NO,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,4,provider_name,character varying,NO,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,5,json_data,jsonb,NO,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,6,status,character varying(50),NO,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,7,submission_date,timestamp without time zone,NO,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,8,reviewed_by,uuid,YES,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,9,review_date,timestamp without time zone,YES,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,10,review_comments,character varying,YES,NULL,,NO,,,,,NULL,NULL
provider,form_submissions,11,last_modified_date,timestamp without time zone,YES,NULL,,NO,,,,,NULL,NULL
provider,fost_category_age_band,1,id,uuid,NO,NULL,fost_category_age_band_pkey,YES,,,,,NULL,NULL
provider,fost_category_age_band,2,provider_id,uuid,NO,NULL,,NO,fost_category_age_band_provider_id_fkey,provider,provider,provider_id,NULL,NULL
provider,fost_category_age_band,3,age_band_id,integer,NO,NULL,,NO,fost_category_age_band_age_band_id_fkey,provider,ageband,age_band_id,NULL,NULL
provider,fost_category_age_band,4,framework_category_id,integer,NO,NULL,,NO,fost_category_age_band_framework_category_id_fkey,framework,framework_category,framework_category_id,NULL,NULL
provider,holding_company,1,holding_company_id,uuid,NO,NULL,pk_provider_holding_company,YES,,,,,This is an autogenetaed UUID Primary Key,This entity will hold all details regarding a Holding Company
provider,holding_company,2,company_name,character varying(100),NO,NULL,,NO,,,,,The full name of the holding company,This entity will hold all details regarding a Holding Company
provider,holding_company,3,address_line_1,character varying(100),NO,NULL,,NO,,,,,"This should contain the primary address information, typically the house number and street name",This entity will hold all details regarding a Holding Company
provider,holding_company,4,address_line_2,character varying(100),YES,NULL,,NO,,,,,"This is for additional address details if necessary, such as the apartment or suite number",This entity will hold all details regarding a Holding Company
provider,holding_company,5,town_city,character varying(100),YES,NULL,,NO,,,,,The name of the town or city,This entity will hold all details regarding a Holding Company
provider,holding_company,6,county,character varying(100),YES,NULL,,NO,,,,,"While not always necessary, especially for larger cities, the county can be included for clarity",This entity will hold all details regarding a Holding Company
provider,holding_company,7,postcode,character varying(20),NO,NULL,,NO,,,,,"The UK postcode is a crucial element of the address, used to identify the precise location for mail delivery.",This entity will hold all details regarding a Holding Company
provider,holding_company,8,country,character varying(100),YES,NULL,,NO,,,,,"If the address is being used in an international context, specifying 'United Kingdom' is important.",This entity will hold all details regarding a Holding Company
provider,holding_company,9,company_phone_number,character varying(100),NO,NULL,,NO,,,,,The main telephone number for the company,This entity will hold all details regarding a Holding Company
provider,holding_company,10,company_email_address,character varying(100),NO,NULL,,NO,,,,,The main email address of the holding company,This entity will hold all details regarding a Holding Company
provider,holding_company,11,contact_person_name,character varying(100),NO,NULL,,NO,,,,,The full name of the main contact at the company,This entity will hold all details regarding a Holding Company
