schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,contract_loaded_at
,framework,3,start_date,string,true,2026-08-21 09:46:13.725346
,framework,4,end_date,string,true,2026-08-21 09:46:13.725346
,framework,5,placement_type,string,true,2026-08-21 09:46:13.725346
,framework,6,export_date,string,true,2026-08-21 09:46:13.725346
,framework_category,1,framework_category_id,string,true,2026-08-21 09:46:13.725346
,framework_category,2,category_name,string,true,2026-08-21 09:46:13.725346
,framework_category,3,framework_code,string,true,2026-08-21 09:46:13.725346
,framework_category,4,export_date,string,true,2026-08-21 09:46:13.725346
,holding_company,1,holding_company_id,string,true,2026-08-21 09:46:13.725346
,ipa,14,provider_addr_line1,string,true,2026-08-21 09:46:13.725346
,ipa,15,provider_addr_line2,string,true,2026-08-21 09:46:13.725346
,ipa,16,provider_addr_county,string,true,2026-08-21 09:46:13.725346
,ipa,17,provider_addr_town,string,true,2026-08-21 09:46:13.725346
,ipa,18,provider_addr_postcode,string,true,2026-08-21 09:46:13.725346
,ipa,19,provider_phone,string,true,2026-08-21 09:46:13.725346
,ipa,20,provider_email,string,true,2026-08-21 09:46:13.725346
,ipa,21,provider_company_registration_number,string,true,2026-08-21 09:46:13.725346
,ipa,22,placement_framework_or_spot,string,true,2026-08-21 09:46:13.725346
,ipa,23,placement_service_type,string,true,2026-08-21 09:46:13.725346
,ipa,24,placement_category,string,true,2026-08-21 09:46:13.725346
,ipa,25,placement_admission_date,string,true,2026-08-21 09:46:13.725346
,ipa,26,placement_type,string,true,2026-08-21 09:46:13.725346
,ipa,27,placement_type_other_text,string,true,2026-08-21 09:46:13.725346
,ipa,28,placement_needs_summary,string,true,2026-08-21 09:46:13.725346
,ipa,29,home_name,string,true,2026-08-21 09:46:13.725346
,ipa,30,home_addr_line1,string,true,2026-08-21 09:46:13.725346
,ipa,31,home_addr_line2,string,true,2026-08-21 09:46:13.725346
,ipa,32,home_addr_county,string,true,2026-08-21 09:46:13.725346
,ipa,33,home_addr_town,string,true,2026-08-21 09:46:13.725346
,ipa,34,home_addr_postcode,string,true,2026-08-21 09:46:13.725346
,ipa,35,home_phone,string,true,2026-08-21 09:46:13.725346
,ipa,36,home_email,string,true,2026-08-21 09:46:13.725346
,ipa,37,registered_manager_name,string,true,2026-08-21 09:46:13.725346
,ipa,38,registered_manager_phone,string,true,2026-08-21 09:46:13.725346
,ipa,39,registered_manager_email,string,true,2026-08-21 09:46:13.725346
,ipa,40,registered_manager_registration_number,string,true,2026-08-21 09:46:13.725346
,ipa,68,schedule_addr_line2,string,true,2026-08-21 09:46:13.725346
,ipa,69,schedule_addr_county,string,true,2026-08-21 09:46:13.725346
,ipa,70,schedule_addr_town,string,true,2026-08-21 09:46:13.725346
,ipa,71,schedule_addr_postcode,string,true,2026-08-21 09:46:13.725346
,ipa,72,schedule_do_not_send_invoices_note,string,true,2026-08-21 09:46:13.725346
,ipa,73,status,string,true,2026-08-21 09:46:13.725346
,ipa,74,signed_by_local_authority,string,true,2026-08-21 09:46:13.725346
,ipa,75,signed_datetime_for_local_authority,string,true,2026-08-21 09:46:13.725346
,ipa,76,signed_by_provider,string,true,2026-08-21 09:46:13.725346
,ipa,77,signed_datetime_for_provider,string,true,2026-08-21 09:46:13.725346
,ipa,78,signed_by_local_authority_name,string,true,2026-08-21 09:46:13.725346
,ipa,79,signed_by_provider_name,string,true,2026-08-21 09:46:13.725346
,ipa,80,can_sign,string,true,2026-08-21 09:46:13.725346
,ipa,81,can_sign_name,string,true,2026-08-21 09:46:13.725346
,ipa,82,can_sign_date,string,true,2026-08-21 09:46:13.725346
,ipa,83,closed,string,true,2026-08-21 09:46:13.725346
,ipa,84,closed_datetime,string,true,2026-08-21 09:46:13.725346
,ipa,85,created_datetime,string,true,2026-08-21 09:46:13.725346
,ipa,86,created_by,string,true,2026-08-21 09:46:13.725346
,ipa,87,updated_datetime,string,true,2026-08-21 09:46:13.725346
,ipa,88,updated_by,string,true,2026-08-21 09:46:13.725346
,ipa,89,export_date,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,1,additional_fee_id,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,2,ipa_id,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,3,title,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,4,fee_type,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,5,one_off_fee,string,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,3,fee_title,string,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,4,number_of_hours,double,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,5,other_fee_title,string,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,6,fee_frequency,string,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,7,rate,double,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,8,export_date,date,true,2026-08-21 09:46:13.725346
,offer,1,offer_id,string,true,2026-08-21 09:46:13.725346
,offer,2,referral_provider_id,string,true,2026-08-21 09:46:13.725346
,offer,3,id_number,string,true,2026-08-21 09:46:13.725346
,offer,4,estimated_start_date,string,true,2026-08-21 09:46:13.725346
,offer,5,core_weekly_fee,string,true,2026-08-21 09:46:13.725346
,offer,6,includes_education,string,true,2026-08-21 09:46:13.725346
,offer,7,child_summary_needs,string,true,2026-08-21 09:46:13.725346
,offer,8,offer_date,string,true,2026-08-21 09:46:13.725346
,offer,9,last_modified_date,string,true,2026-08-21 09:46:13.725346
,offer,10,decline_reason,string,true,2026-08-21 09:46:13.725346
,offer,11,decline_reason_other,string,true,2026-08-21 09:46:13.725346
