table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
offer,9,last_modified_date,timestamp without time zone,YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,10,decline_reason,character varying(500),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,11,decline_reason_other,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,12,can_edit_offer,boolean,YES,FALSE,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,13,withdraw_reason,character varying(500),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,14,withdraw_reason_other,string,YES,NULL,,NO,,,,,,
offer,15,offer_status,character varying(50),NO,NULL,,NO,,,,,Status of the Offer,Holds key information regarding the offer as created by the provider
offer,16,offer_type,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,17,provider_home_id,uuid,NO,NULL,,NO,,,,,FK to Provider Home entity,Holds key information regarding the offer as created by the provider
offer,18,category,integer,YES,NULL,,NO,,,,,category under which offer is made,Holds key information regarding the offer as created by the provider
offer,19,category_code,character varying(100),YES,NULL::character varying,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,20,education_weekly_fee,"numeric(6,2)",YES,NULL,,NO,,,,,weekly education fee,Holds key information regarding the offer as created by the provider
offer,21,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Holds key information regarding the offer as created by the provider
provider_home_gender,1,provider_home_gender_id,bigint,NO,nextval('provider.provider_home_gender_provider_home_gender_id_seq'::regclass),pk_provider_home_gender,YES,,,,,NULL,Genders supported by the Provider Home
provider_home_gender,2,provider_home_id,uuid,NO,NULL,,NO,fk_provider_home_gender_provider_home,provider,provider_home,provider_home_id,FK to Provider Home,Genders supported by the Provider Home
provider_home_gender,3,supported_gender,character varying(80),NO,NULL,,NO,,,,,FK to Reference Data - GenderCode,Genders supported by the Provider Home
provider_home_gender,4,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Genders supported by the Provider Home
provider_home_spot_category,1,provider_home_spot_category_id,bigint,NO,nextval('provider.provider_home_spot_category_provider_home_spot_category_id_seq'::regclass),pk_provider_home_spot_category,YES,,,,,NULL,Spot categories supported by the Provider Home
provider_home_spot_category,2,provider_home_id,uuid,NO,NULL,,NO,fk_provider_home_spot_category_provider_home,provider,provider_home,provider_home_id,FK to Provider Home,Spot categories supported by the Provider Home
provider_home_spot_category,3,spot_category_code,character varying(9),NO,NULL,,NO,,,,,FK to Reference Data - SpotCategoryCode,Spot categories supported by the Provider Home
provider_home_spot_category,4,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Spot categories supported by the Provider Home
provider_sic_codes,1,provider_id,string,YES,NULL,,NO,,,,,,
provider_sic_codes,2,sic_code,string,YES,NULL,,NO,,,,,,
provider_sic_codes,3,export_date,string,YES,NULL,,NO,,,,,,
provider_submission_docs,1,document_id,string,YES,NULL,,NO,,,,,,
provider_submission_docs,2,submission_id,string,YES,NULL,,NO,,,,,,
provider_submission_docs,3,s3_file_metadata_id,string,YES,NULL,,NO,,,,,,
provider_submission_docs,4,document_name,string,YES,NULL,,NO,,,,,,
provider_submission_docs,5,document_type,string,YES,NULL,,NO,,,,,,
provider_submission_docs,6,expiry_date,string,YES,NULL,,NO,,,,,,
provider_submission_docs,7,last_updated,string,YES,NULL,,NO,,,,,,
provider_submission_docs,8,next_review_date,string,YES,NULL,,NO,,,,,,
provider_submission_docs,9,service_type,string,YES,NULL,,NO,,,,,,
provider_submission_docs,10,home_id,string,YES,NULL,,NO,,,,,,
provider_submission_docs,11,start_date,string,YES,NULL,,NO,,,,,,
provider_submission_docs,12,export_date,string,YES,NULL,,NO,,,,,,
referral,1,referral_id,uuid,NO,NULL,pk_referral,YES,,,,,Auto Generated Unique Primary Key,Holds key informatoin regarding the referral as created by the placement officer
referral,2,placement_type,character varying(120),YES,NULL,,NO,,,,,Placement type supplied by the flattened referral extract,Holds key informatoin regarding the referral as created by the placement officer
referral,3,required_start_date,date,NO,NULL,,NO,,,,,The date that this referral is required to start,Holds key informatoin regarding the referral as created by the placement officer
referral,4,response_required_by_date,date,NO,NULL,,NO,,,,,A preferred date that the local authority require from providers,Holds key informatoin regarding the referral as created by the placement officer
referral,5,is_sibling_placement,boolean,NO,FALSE,,NO,,,,,A boolean flag to indiciate that this is a sibling placement,Holds key informatoin regarding the referral as created by the placement officer
referral,6,sibling_count,integer,NO,NULL,,NO,,,,,The number of siblings that are included in this referral,Holds key informatoin regarding the referral as created by the placement officer
referral,7,is_parent_child_placement,boolean,NO,FALSE,,NO,,,,,A boolean flag to indiciate that this is a parent/child placement,Holds key informatoin regarding the referral as created by the placement officer
referral,8,has_location_preferrence,boolean,NO,NULL,,NO,,,,,A boolean flag to indiciate that a location preference is to be considered,Holds key informatoin regarding the referral as created by the placement officer
